Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TPHS,Trinity Place Holdings Inc. Common Stock,$0.1535,-0.0035,-2.229%,9831134.00,,,532387,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$6.415,0.195,3.135%,27265707.00,United States,1998,5536,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.4769,0.0103,2.207%,133098371.00,Canada,,191005,,
UAMY,United States Antimony Corporation Common Stock,$0.355,0.008,2.305%,38495839.00,United States,,396142,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.66,0.02,3.125%,7881342.00,United States,,169932,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$7.27,-0.01,-0.137%,2938100730.00,Canada,,3906559,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$1.35,-0.15,-10.00%,12600010.00,,2024,138555,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.79,0.00,0.00%,504111120.00,Canada,,2585581,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.335,0.0139,4.329%,83045589.00,Canada,2017,978888,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$27.81,0.34,1.238%,0.00,United States,2004,344053,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.58,0.06,3.947%,3654361.00,United States,2003,45556,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.97,0.18,2.651%,1140083451.00,Canada,,2737439,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VCXB,10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,$10.98,0.00,0.00%,166996906.00,,2022,226,Finance,Blank Checks
VFL,abrdn National Municipal Income Fund Common Stock,$9.93,0.00,0.00%,0.00,United States,1993,32694,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.5194,0.0094,1.843%,63239051.00,United States,1986,122734,,
VINE,Fresh Vine Wine Inc. Common Stock,$0.54,-0.028,-4.93%,8627163.00,,2021,45842,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.55,-0.03,-0.35%,379671471.00,United States,1993,316525,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.6812,-0.0718,-9.535%,56413660.00,Singapore,2015,53376,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VTAK,Catheter Precision Inc. Common Stock,$0.503,-0.0095,-1.854%,3809422.00,,2018,24368,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.86,-0.01,-0.535%,432714185.00,Canada,2022,1524211,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.31,-0.04,-2.963%,257034601.00,Canada,2011,320933,,
WWR,Westwater Resources Inc. Common Stock,$0.482,0.008,1.688%,27564079.00,United States,,81421,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$2.68,0.03,1.132%,24955519.00,United States,,10945,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.9008,0.0155,1.751%,73223930.00,United States,,40205,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.7452,0.0252,3.50%,97037366.00,United States,,79402,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.6856,0.0189,2.835%,2652643.00,United States,2017,120740,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.67,-0.01,-1.471%,,United States,,2625,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.77,-0.01,-0.36%,40325189.00,,2016,64030,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.1645,-0.0033,-1.967%,161201720.00,United States,2017,4228240,Health Care,Biotechnology: Pharmaceutical Preparations
ZONE,CleanCore Solutions Inc. Class B Common Stock,$3.09,0.1299,4.388%,24606965.00,,2024,5134,Industrials,Industrial Machinery/Components
